,13C,15N,C/N
BLWD-C2-36.5-37_V74,-32.4240998,5.3541818,13.25929981
BLWD-C2-37.5-38_V76,-30.5019386,5.3340658,12.59563179
BLWD-C2-38.5-39_V78,-32.2029923,5.8238904,13.4995178
BLWD-C2_39.5-40_V80,-32.7415119,4.875421,15.66190026
BLWD-C2_40.5-41_V82,-30.0675852,4.7738352,16.37190426
BLWD-C2-41.5-42-84,-30.1059105,2.8960066,13.77231489
BLWD-C2-42.5-43-86,-31.7823967,4.2649004,8.756152449
BLWD-C2-43.5-44-88,-29.2195151,3.9923286,13.17585423
BLWD-C2-44.5-45-90,-28.9178262,4.1733726,15.46982449
BLWD-C2-45.5-46-92,-30.3918762,4.5173562,16.84577278
BLWD-C2-46.5-47-94,-30.3083467,4.2749584,
BLWD-C2-47.5-48-96,-33.8106895,4.4117472,7.450872182
BLWD-C2-48.5-49-98,-33.8421359,4.7758468,24.47177535
BLWD-C2-49.5-50-100,-30.003231,4.314691,25.09031985
BLWD-C2-50.5-51-102,-29.304582,4.3338696,17.20361718
BLWD-C2-51.5-52-104,-32.2860715,5.1050512,10.07880737
BLWD-C2-52.5-53-106,-31.619713,5.0929384,15.6188896
BLWD-C2-53.5-54-108,-28.8417515,5.6057136,14.81379215
BLWD-C2-54.5-55-110,-33.0512585,5.5067924,12.48043262
BLWD-C2-55.5-56-112,-32.4211045,4.7911278,13.94198027
BLWD-C2-56.5-57-114,-29.854499,5.0020924,16.29737428
BLWD-C2-57.5-58-116,-30.1920815,4.8153534,23.14744917
BLWD-C2-58.5-59-118,-29.3740555,5.0434778,17.14463232
BLWD-C2-59.5-60-120,-30.9807525,5.0404496,15.9928887
BLWD-C2-60.5-61-122,-29.4425505,5.1252392,22.01942972
BLWD-C2-61.5-62-124,-29.5051745,4.718451,20.07094764
BLWD-C2-62.5-63-126,-31.015,4.536759,18.27233868
BLWD-C2-63.5-64-128,-31.089366,4.4620634,18.35154026
BLWD-C2-64.5-65-130,-31.874123,3.8513764,15.35952898
BLWD-C2-65.5-66-132,-31.8966285,3.8927618,15.66539093
BLWD-C2-66.5-67-134,-32.4602445,4.3974618,11.19776417
